name,review_count,lat,long,price,count_of_crimes
The Penthouse at Mastro's,4650,34.0689333,-118.3987465,$$$$,53
Gracias Madre - West Hollywood,4101,34.0807951106153,-118.386972025037,$$,73
Taste on Melrose,2627,34.0825734070693,-118.374798180805,$$,132
GRANVILLE,2622,34.1451088111189,-118.25509250164,$$,40
Fig & Olive - Melrose Place,2488,34.0834751,-118.3761741,$$$,124
PUMP Restaurant,2408,34.0837127,-118.3852555,$$$,78
Firefly,2226,34.141468,-118.388418,$$$,379
The Abbey Food & Bar,2192,34.08361,-118.3853751,$$,77
Kitchen 24,2146,34.1003728128631,-118.329342038014,$$,919
Clifton's Republic,2011,34.0454,-118.25294,$$,3432
Spago,1957,34.0676057,-118.3976687,$$$,59
Far Bar,1944,34.04973,-118.23944,$$,2566
GRANVILLE,1921,34.1431440622596,-118.402830060188,$$,319
Saddle Ranch Chop House,1888,34.095603,-118.37238,$$,213
Moodaepo II,1721,34.059648,-118.289799,$$,2099
Public School 310,1663,34.024275,-118.394556,$$,267
Musso & Frank Grill,1641,34.101802,-118.335394,$$$,845
El Compadre,1630,34.09769,-118.35205,$$,659
"The Butcher, The Baker, The Cappuccino Maker",1607,34.0921328,-118.3805803,$$,86
The Honor Bar,1573,34.06617,-118.39872,$$,62
"The Rooftop at The Standard, Downtown LA",1568,34.0501911926812,-118.256970106494,$$$,3424
Black Market Liquor Bar,1537,34.14317,-118.3911,$$,373
EightyTwo,1498,34.045368,-118.237335,$$,2400
Meet in Paris,1483,34.0219647,-118.3962699,$$,274
Alibi Room,1475,33.99689,-118.42654,$$,216
Laurel Hardware,1461,34.0906651,-118.3642799,$$,321
Westside Tavern,1458,34.039642,-118.428946,$$,482
Wokcano,1451,34.048593,-118.25917,$$,3478
Hamburger Mary's,1428,34.0905573,-118.3700477,$$,228
Kanpai Japanese Sushi Bar & Grill,1424,33.96185,-118.4214,$$$,205
The Overland Cafe,1408,34.0223554,-118.4099716,$$,342
Tam O'Shanter,1399,34.125675145001,-118.264257899961,$$$,125
GRANVILLE,1386,34.0771299,-118.38068,$$,113
Wood & Vine,1343,34.1014405415506,-118.326316136051,$$,940
Tart Restaurant,1301,34.0736311266237,-118.36157755208,$$,208
Industriel,1300,34.0486928,-118.2556854,$$,3420
Good Times at Davey Wayne's,1294,34.100235,-118.323966,$$,944
Blue Cow Kitchen & Bar,1293,34.051479,-118.251659,$$,3320
MESSHALL,1267,34.1116,-118.287737,$$,339
Rockwell Table & Stage,1244,34.1022651,-118.2917498,$$,556
The Village Idiot,1237,34.083728207846,-118.350996084213,$$,608
Il Cielo,1222,34.0719384,-118.3884127,$$$$,73
SOL Mexican Cocina,1218,33.97607616706,-118.416961589194,$$,172
BAR Ama,1208,34.0483374,-118.2477806,$$,3271
Velvet Margarita,1205,34.10028,-118.32927,$$,920
El Paseo Inn,1193,34.0574823572481,-118.237740052736,$$,2342
Spitz - Eagle Rock,1190,34.1412910456986,-118.221491621097,$$,50
Le Petit Paris,1189,34.0481,-118.24846,$$$,3295
Barbrix Restaurant & Wine Bar,1162,34.1040697732704,-118.272939999995,$$,369
Escala,1144,34.06373,-118.296869,$$,1815
Pasta Sisters - Culver City,1114,34.030029,-118.383983,$$,297
Elevate Lounge,1089,34.0498199,-118.25819,$$,3450
Jones,1081,34.0908449,-118.34645,$$,723
Beauty & Essex,1081,34.1001618158939,-118.329813609856,$$$,920
Night + Market Song,1058,34.0869930418948,-118.275715286631,$$,1179
The Little Easy,1057,34.04758,-118.25036,$$,3371
The Stocking Frame,1051,34.0428503408091,-118.257759626778,$$,3543
La Descarga,1035,34.09208,-118.30956,$$,1063
Idle Hour,1017,34.158376,-118.36992,$$,413
1739 Public House,1014,34.1027799836225,-118.292037834673,$$,567
The York,1012,34.121063,-118.206283,$$,202
Lock & Key,1008,34.06936,-118.29197,$$,1816
Arts District Brewing Company,1004,34.0446217616778,-118.235323801466,$$,2362
The Woodman,1002,34.148148,-118.430145,$$,322
Dave & Buster's,1002,34.1021261755192,-118.339138571129,$$,789
Karl Strauss Brewing Company,1002,34.1362631,-118.3538828,$$,257
Miceli's Italian - Hollywood,995,34.101261138916,-118.335983276367,$$,832
Gaam Restaurant and Lounge,990,34.063793182373,-118.296913146973,$$,1815
Terroni Downtown,989,34.0429268,-118.2536696,$$,3442
TAO Asian Bistro,986,34.0998942758967,-118.330590724572,$$$,916
The Griffin,979,34.12519,-118.26466,$$,124
Xlanes Family Entertainment Center,979,34.0452367129637,-118.238553392065,$$,2527
The Hudson,977,34.091192,-118.365525,$$,309
Te'Kila,972,34.101795,-118.3323928,$$,891
