,descriptions
0,
1,ROBBERY
2,BURGLARY
3,ADW W/FIREARM
4,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE
5,ENGAGE/SOLICIT SEX FOR MONEY/ETC
6,DRUNK DRIVING ALCOHOL/DRUGS
7,WARRANT-PETITION TO REVOKE COMMUNITY SUPVN
8,LOITER:INTENT:PROSTITUTION
9,INTENTIONAL INTERFERENCE W/PUBLIC TRANSP
10,THEFT FROM VEHICLE
11,DRINKING IN PUBLIC
12,MAINTAIN PLACE TO SELL CONTROLLED SUBS
13,TRESPASS:RAILROAD PROPERTY
14,"ADW, NOT FIREARM, W/GBI"
15,POSS DEVICE/INSTRUMT/PARAPHERNALIA
16,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC
17,FALSE PERSONATE:SPEC CIRC
18,ILLEGAL POSSESSION OF SHOPPING CART
19,SHOPLIFTING
20,DRINKING ALCOHOL*******
21,REFUSE TO LEAVE LANDS UPON REQUEST
22,POSSESSION CONTROLLED SUBSTANCE
23,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR
24,DRINKING IN PUBLIC***
25,LOITER/OBSTRUCT STREET/SIDEWALK/ETC
26,PROSTITUTION
27,POSSESSION OF SHOPPING CART
28,GIVE TOBACCO/SMOKG PARAPHERNALIA MINR <18
29,PROHIBITED NOISE
30,POSSESSION CNTL SUBSTANCE PARAPHERNALIA
31,DRIVE ON PRIVATE PROPERTY W/O CONSENT
32,PRES AT GAMBLING
33,LOITERING FOR PURPOSES OF PROSTITUTION
34,ENTER/REMAIN ON POSTED PROPERTY
35,MINOR POSSESS ALCOHOL
36,SOLICIT/ENGAGE LEWD ACT IN PUBLIC VIEW
37,GET CREDIT/ETC OTHER'S ID
38,RECEIVING KNOWN STOLEN PROPERTY >$950
39,TERRORIZE CAUSING FEAR
40,VEH MANSLAUGHTR/OPER VESSEL DUI & DUR FEL
41,TRANSPORT/SELL CONTROLLED SUBSTANCE
42,CARRYING CONCEALED WEAPON UPON PERSON
43,POSS F/ARM BY CONVICTED FELON/ADDICT/ETC
44,CARRY CONCEALED WEAPON IN VEHICLE
45,VANDALISM W/LOSS VALUED EQ OR > $400
46,PETTY THEFT
47,VEH MANSLAUGHTER DUI W/GROSS NEGLIGENCE
48,ADW PO/FIREMAN W/O FIREARM/GBI
49,KIDNAPPING FOR RANSOM
50,TAKE VEHICLE W/O OWNER'S CONSENT
51,TAKE VEH:NO CNSNT:SPEC PR
52,CARRY LOADED F/ARM PRSON/HEH PUBLIC PLACE
53,DEFACE PROPERTY
54,DUI ALCOHOL CAUSING INJURY
55,BATTERY ON PO/EMERGENCY PERSONNEL W/O INJ
56,DAMAGE PROPERTY
57,DISOBEY DOMESTIC RELATIONS COURT ORDER
58,PERMIT ANOTHER BRING LOADED F/ARM IN VEH
59,ARSON OF PROPERTY
60,ATTEMPT - ROBBERY
61,FORGERY EXCEEDING $950 NOT CHECK/BOND ETC
62,HIT AND RUN CAUSING INJURY/DEATH
63,PROBATION VIOLATION
