alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,lat,long
blue-cow-kitchen-and-bar-los-angeles-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 34.051479, 'longitude': -118.251659}",(213) 621-2249,6520.630986442001,81kXeyBt1AKiJC_HITT9KA,https://s3-media2.fl.yelpcdn.com/bphoto/6rG8Ih9Nk5tvUCRgYypNfg/o.jpg,False,"{'address1': '350 S Grand Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['350 S Grand Ave', 'Los Angeles, CA 90071']}",Blue Cow Kitchen & Bar,+12136212249,$$,4.0,1292,['delivery'],https://www.yelp.com/biz/blue-cow-kitchen-and-bar-los-angeles-2?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.051479,-118.251659
eightytwo-los-angeles-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]","{'latitude': 34.045368, 'longitude': -118.237335}",(213) 626-8200,7941.361715633049,veyBgbOjIHv7npz7eHf1NQ,https://s3-media2.fl.yelpcdn.com/bphoto/kE7_HynUJGmBGxq6uENRTQ/o.jpg,False,"{'address1': '707 E 4th Pl', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['707 E 4th Pl', 'Los Angeles, CA 90013']}",EightyTwo,+12136268200,$$,4.0,1498,[],https://www.yelp.com/biz/eightytwo-los-angeles-2?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.045368,-118.237335
far-bar-los-angeles-4,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 34.04973, 'longitude': -118.23944}",(213) 617-9990,7660.318190116519,EjRBYCUq2sx-TH77zubUfw,https://s3-media2.fl.yelpcdn.com/bphoto/W82kCJsKyJzMOUqa3gI_jw/o.jpg,False,"{'address1': '347 E 1st St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['347 E 1st St', 'Los Angeles, CA 90012']}",Far Bar,+12136179990,$$,3.5,1943,"['delivery', 'pickup']",https://www.yelp.com/biz/far-bar-los-angeles-4?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.04973,-118.23944
escala-los-angeles-2,"[{'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 34.06373, 'longitude': -118.296869}",(213) 387-1113,2270.436506539745,N05X5dnwzpWvLg7ZRcMtcA,https://s3-media3.fl.yelpcdn.com/bphoto/VjuDHXjoCIC-BM4K-SprzA/o.jpg,False,"{'address1': '3451 W 6th St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3451 W 6th St', 'Los Angeles, CA 90020']}",Escala,+12133871113,$$,4.0,1144,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/escala-los-angeles-2?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.06373,-118.296869
manuela-los-angeles-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 34.04608, 'longitude': -118.23489}",(323) 849-0480,8153.413454983777,qA9Dqezi-kqbIBtM3c07Ew,https://s3-media1.fl.yelpcdn.com/bphoto/_PMjUVoWVdVgf7EyeOkqSQ/o.jpg,False,"{'address1': '907 E 3rd St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['907 E 3rd St', 'Los Angeles, CA 90013']}",Manuela,+13238490480,$$,4.0,919,['delivery'],https://www.yelp.com/biz/manuela-los-angeles-2?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.04608,-118.23489
tao-asian-bistro-los-angeles,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 34.0998942758967, 'longitude': -118.330590724572}",(323) 593-7888,4342.926312869285,KF0iy1GeuDYm_1EyyVD6ig,https://s3-media3.fl.yelpcdn.com/bphoto/cNtJFBXrxtZiJ0Eqr5FOeg/o.jpg,False,"{'address1': '6421 Selma Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['6421 Selma Ave', 'Los Angeles, CA 90028']}",TAO Asian Bistro,+13235937888,$$$,4.0,986,"['delivery', 'pickup']",https://www.yelp.com/biz/tao-asian-bistro-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0998942758967,-118.330590724572
wirtshaus-los-angeles-4,"[{'alias': 'german', 'title': 'German'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]","{'latitude': 34.07757, 'longitude': -118.34438}",(323) 931-9291,2773.6426543948805,-3S1PdyDbSQcqkIaX8VKrQ,https://s3-media3.fl.yelpcdn.com/bphoto/96ceimu-o5Lk8piUT-8yDQ/o.jpg,False,"{'address1': '345 N La Brea Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['345 N La Brea Ave', 'Los Angeles, CA 90036']}",Wirtshaus,+13239319291,$$,4.0,855,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/wirtshaus-los-angeles-4?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.07757,-118.34438
the-stocking-frame-los-angeles,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 34.0428503408091, 'longitude': -118.257759626778}",(213) 488-0373,6220.636691979485,CGJLSb8h5XF0zOzsFjY7WA,https://s3-media2.fl.yelpcdn.com/bphoto/o-VCxIBJs_EXOCz2gD7ydg/o.jpg,False,"{'address1': '911 S Hill St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['911 S Hill St', 'Los Angeles, CA 90015']}",The Stocking Frame,+12134880373,$$,4.0,1051,"['delivery', 'pickup']",https://www.yelp.com/biz/the-stocking-frame-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0428503408091,-118.257759626778
gracies-pizza-los-angeles,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 34.0834606247128, 'longitude': -118.295175379382}",(323) 663-1219,3426.3859979110553,foBzz8XUsfttltHQSmLS3w,https://s3-media3.fl.yelpcdn.com/bphoto/6F3mSo_Tms6SzP1gSnlnPw/o.jpg,False,"{'address1': '4330 Melrose Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90029', 'country': 'US', 'state': 'CA', 'display_address': ['4330 Melrose Ave', 'Los Angeles, CA 90029']}",Gracie's Pizza,+13236631219,$,4.5,521,"['delivery', 'pickup']",https://www.yelp.com/biz/gracies-pizza-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0834606247128,-118.295175379382
alibi-room-los-angeles-2,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 33.99689, 'longitude': -118.42654}",(310) 390-9300,12072.709960850767,xRB-PmYVsVXVY1TaYUjapw,https://s3-media3.fl.yelpcdn.com/bphoto/KYqbl63dVDlIgy8Q7-nOGw/o.jpg,False,"{'address1': '12236 W Washington Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['12236 W Washington Blvd', 'Los Angeles, CA 90066']}",Alibi Room,+13103909300,$$,4.0,1475,['delivery'],https://www.yelp.com/biz/alibi-room-los-angeles-2?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,33.99689,-118.42654
